Date,Open,High,Low,Close,Adj Close,Volume
2018-11-28,435.970734,466.752533,428.432343,449.162933,339.070221,25190159
2018-11-29,468.637146,473.662750,449.162933,451.675751,340.967102,25245890
2018-11-30,452.932129,464.867950,452.932129,464.867950,350.925812,15084947
2018-12-03,486.854950,511.354736,486.854950,511.354736,386.018372,16631317
2018-12-04,521.405945,521.405945,502.559937,504.444519,380.801941,19312729
2018-12-05,481.829346,496.277924,480.572937,487.483124,367.997864,15204357
2018-12-06,481.829346,484.970337,439.111755,439.111755,331.482605,21149245
2018-12-07,444.765533,451.675751,429.688751,447.906555,338.121765,16722561
2018-12-10,432.829742,433.457947,404.560760,406.445343,306.822968,18548318
2018-12-11,408.958130,420.265747,405.188934,417.124756,314.884796,14296916
2018-12-12,427.804138,432.201538,424.663147,425.291351,321.049713,11187373
2018-12-13,415.868347,417.124756,386.971161,395.137756,298.286926,23994681
2018-12-14,387.599335,402.047943,373.778961,402.047943,303.503387,20440847
2018-12-17,398.278748,409.586334,390.740356,403.932556,304.926086,14291272
2018-12-18,396.394135,402.047943,392.624939,402.047943,303.503387,12367660
2018-12-19,408.329956,412.727356,402.047943,402.047943,303.503387,11216781
2018-12-20,398.278748,402.676147,383.830139,394.509552,297.812714,13393318
2018-12-21,391.996735,412.099152,385.714752,412.099152,311.091003,15132537
2018-12-24,407.073547,415.868347,400.163361,415.868347,313.936310,8111463
2018-12-25,402.047943,412.727356,398.278748,412.727356,311.565216,10628410
2018-12-26,420.265747,422.778534,394.509552,394.509552,297.812714,14192518
2018-12-27,412.099152,415.868347,400.791534,403.304352,304.451843,15916663
2018-12-28,408.329956,408.958130,400.791534,400.791534,302.554932,7479642
2019-01-02,407.073547,407.701752,394.509552,394.509552,297.812714,7303004
2019-01-03,391.368561,398.278748,378.804535,380.689148,287.379761,11714668
2019-01-04,371.894348,371.894348,360.586761,363.727753,274.575745,18931040
2019-01-07,376.291748,377.548157,371.894348,372.522552,281.214844,7920910
2019-01-08,374.407135,374.407135,368.753357,369.381561,278.843750,5498067
2019-01-09,374.407135,400.791534,374.407135,381.317352,287.854004,19884086
2019-01-10,386.342957,389.483948,380.060944,382.573761,288.802460,12201513
2019-01-11,384.458344,393.253143,382.573761,384.458344,290.225098,11772498
2019-01-14,386.971161,388.855743,380.689148,385.714752,291.173553,5806475
2019-01-15,387.599335,397.022339,386.342957,394.509552,297.812714,9040609
2019-01-16,397.650543,402.676147,395.765961,398.906952,301.132294,7704258
2019-01-17,405.188934,407.701752,393.881348,393.881348,297.338470,7662886
2019-01-18,399.535156,400.791534,394.509552,400.163361,302.080719,6295002
2019-01-21,409.586334,410.214539,402.047943,402.047943,303.503387,6739936
2019-01-22,402.047943,403.304352,395.765961,397.650543,300.183838,4590506
2019-01-23,392.624939,397.650543,391.368561,397.650543,300.183838,3749918
2019-01-24,398.906952,401.419739,395.765961,395.765961,298.761139,2968359
2019-01-25,401.419739,416.496552,400.163361,412.727356,311.565216,15036031
2019-01-28,418.381134,426.547729,410.214539,412.099152,311.091003,10879445
2019-01-29,405.817139,406.445343,399.535156,403.304352,304.451843,5923315
2019-01-30,407.701752,409.586334,403.932556,403.932556,304.926086,5608460
2019-02-11,410.214539,412.727356,404.560760,412.099152,311.091003,4995600
2019-02-12,420.265747,442.252747,419.637543,442.252747,333.853729,19405150
2019-02-13,455.444946,481.201141,454.188538,480.572937,362.781372,23575144
2019-02-14,482.457550,484.342133,469.265350,471.778137,356.142273,12981216
2019-02-15,462.355133,466.752533,452.303925,452.303925,341.441315,12306806
2019-02-18,462.355133,469.265350,459.842346,466.752533,352.348480,8602441
2019-02-19,468.008942,470.521729,461.726929,462.355133,349.028900,6393965
2019-02-20,470.521729,482.457550,468.637146,468.637146,353.771149,10466974
2019-02-21,472.406342,479.316528,464.239746,478.688324,361.358734,6768144
